25.755;4.375;17.085;6.7;low
24.745;3.75;16.415;6.7;low
23.735;4;15.745;6.7;low
23.23;3.875;15.41;6.7;low
25.25;4.5;16.75;6.7;low
27.27;4.875;18.09;13.4;low
23.23;4.25;15.41;10.05;low
25.25;4.25;16.75;6.7;low
22.22;3.625;14.74;6.7;low
24.745;3.875;16.415;3.35;low
27.27;4.625;18.09;6.7;low
24.24;4.25;16.08;6.7;low
24.24;3.75;16.08;3.35;low
21.715;3.75;14.405;3.35;low
29.29;5;19.43;6.7;low
28.785;5.5;19.095;13.4;low
27.27;4.875;18.09;13.4;low
25.755;4.375;17.085;10.05;low
28.785;4.75;19.095;10.05;low
25.755;4.75;17.085;10.05;low
27.27;4.25;18.09;6.7;low
25.755;4.625;17.085;13.4;low
23.23;4.5;15.41;6.7;low
25.755;4.125;17.085;16.75;low
24.24;4.25;16.08;6.7;low
25.25;3.75;16.75;6.7;low
25.25;4.25;16.75;13.4;low
26.26;4.375;17.42;6.7;low
26.26;4.25;17.42;6.7;low
23.735;4;15.745;6.7;low
24.24;3.875;16.08;6.7;low
27.27;4.25;18.09;13.4;low
26.26;5.125;17.42;3.35;low
27.775;5.25;18.425;6.7;low
24.745;3.875;16.415;3.35;low
25.25;4;16.75;6.7;low
27.775;4.375;18.425;6.7;low
24.745;3.875;16.415;3.35;low
22.22;3.75;14.74;6.7;low
25.755;4.25;17.085;6.7;low
25.25;4.375;16.75;10.05;low
22.725;2.875;15.075;10.05;low
22.22;4;14.74;6.7;low
25.25;4.375;16.75;20.1;low
25.755;4.75;17.085;13.4;low
24.24;3.75;16.08;10.05;low
25.755;4.75;17.085;6.7;low
23.23;4;15.41;6.7;low
26.765;4.625;17.755;6.7;low
25.25;4.125;16.75;6.7;low
35.35;4;23.45;46.9;moderate
32.32;4;21.44;50.25;moderate
34.845;3.875;23.115;50.25;moderate
27.775;2.875;18.425;43.55;moderate
32.825;3.5;21.775;50.25;moderate
28.785;3.5;19.095;43.55;moderate
31.815;4.125;21.105;53.6;moderate
24.745;3;16.415;33.5;moderate
33.33;3.625;22.11;43.55;moderate
26.26;3.375;17.42;46.9;moderate
25.25;2.5;16.75;33.5;moderate
29.795;3.75;19.765;50.25;moderate
30.3;2.75;20.1;33.5;moderate
30.805;3.625;20.435;46.9;moderate
28.28;3.625;18.76;43.55;moderate
33.835;3.875;22.445;46.9;moderate
28.28;3.75;18.76;50.25;moderate
29.29;3.375;19.43;33.5;moderate
31.31;2.75;20.77;50.25;moderate
28.28;3.125;18.76;36.85;moderate
29.795;4;19.765;60.3;moderate
30.805;3.5;20.435;43.55;moderate
31.815;3.125;21.105;50.25;moderate
30.805;3.5;20.435;40.2;moderate
32.32;3.625;21.44;43.55;moderate
33.33;3.75;22.11;46.9;moderate
34.34;3.5;22.78;46.9;moderate
33.835;3.75;22.445;56.95;moderate
30.3;3.625;20.1;50.25;moderate
28.785;3.25;19.095;33.5;moderate
27.775;3;18.425;36.85;moderate
27.775;3;18.425;33.5;moderate
29.29;3.375;19.43;40.2;moderate
30.3;3.375;20.1;53.6;moderate
27.27;3.75;18.09;50.25;moderate
30.3;4.25;20.1;53.6;moderate
33.835;3.875;22.445;50.25;moderate
31.815;2.875;21.105;43.55;moderate
28.28;3.75;18.76;43.55;moderate
27.775;3.125;18.425;43.55;moderate
27.775;3.25;18.425;40.2;moderate
30.805;3.75;20.435;46.9;moderate
29.29;3.25;19.43;40.2;moderate
25.25;2.875;16.75;33.5;moderate
28.28;3.375;18.76;43.55;moderate
28.785;3.75;19.095;40.2;moderate
28.785;3.625;19.095;43.55;moderate
31.31;3.625;20.77;43.55;moderate
25.755;3.125;17.085;36.85;moderate
28.785;3.5;19.095;43.55;moderate
31.815;4.125;21.105;83.75;hight
29.29;3.375;19.43;63.65;hight
35.855;3.75;23.785;70.35;hight
31.815;3.625;21.105;60.3;hight
32.825;3.75;21.775;73.7;hight
38.38;3.75;25.46;70.35;hight
24.745;3.125;16.415;56.95;hight
36.865;3.625;24.455;60.3;hight
33.835;3.125;22.445;60.3;hight
36.36;4.5;24.12;83.75;hight
32.825;4;21.775;67;hight
32.32;3.375;21.44;63.65;hight
34.34;3.75;22.78;70.35;hight
28.785;3.125;19.095;67;hight
29.29;3.5;19.43;80.4;hight
32.32;4;21.44;77.05;hight
32.825;3.75;21.775;60.3;hight
38.885;4.75;25.795;73.7;hight
38.885;3.25;25.795;77.05;hight
30.3;2.75;20.1;50.25;hight
34.845;4;23.115;77.05;hight
28.28;3.5;18.76;67;hight
38.885;3.5;25.795;67;hight
31.815;3.375;21.105;60.3;hight
33.835;4.125;22.445;70.35;hight
36.36;4;24.12;60.3;hight
31.31;3.5;20.77;60.3;hight
30.805;3.75;20.435;60.3;hight
32.32;3.5;21.44;70.35;hight
36.36;3.75;24.12;53.6;hight
37.37;3.5;24.79;63.65;hight
39.895;4.75;26.465;67;hight
32.32;3.5;21.44;73.7;hight
31.815;3.5;21.105;50.25;hight
30.805;3.25;20.435;46.9;hight
38.885;3.75;25.795;77.05;hight
31.815;4.25;21.105;80.4;hight
32.32;3.875;21.44;60.3;hight
30.3;3.75;20.1;60.3;hight
34.845;3.875;23.115;70.35;hight
33.835;3.875;22.445;80.4;hight
34.845;3.875;23.115;77.05;hight
29.29;3.375;19.43;63.65;hight
34.34;4;22.78;77.05;hight
33.835;4.125;22.445;83.75;hight
33.835;3.75;22.445;77.05;hight
31.815;3.125;21.105;63.65;hight
32.825;3.75;21.775;67;hight
31.31;4.25;20.77;77.05;hight
29.795;3.75;19.765;60.3;hight
